qid,Len,Lml,Den,Dml,P31,S854,P2093,P212,P957,P407,P495,P577,P1104,P136,P393
,Cyber Kuttakrithyangalum Indian Cyber Niyamavum,സൈബർ കുറ്റകൃത്യങ്ങളും ഇന്ത്യൻ സൈബർ നിയമവും,Malayalam-language law published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നിയമ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/cyber-kuttakrithyangalum-indian-cyber-niyamavum""","""Anvar Sadath K""",,"""8126423641""",Q36236,Q668,+2015-06-01T00:00:00Z/11,118,Q7748,"""3"""
,"Da Vinci, Michelangelo, Raphael (mahacharithamala)",ഡാ വിഞ്ചി  മൈക്കിളങ്ങേലോ  റഫറൽ (മഹാചരിതമാല),Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/da-vinci-michelangelo-raphael-mahacharithamala""","""Devaraj Sreesailam""","""9788171521005""",,Q36236,Q668,+2015-01-01T00:00:00Z/11,88,Q36279,"""4"""
,Daakinimaarude Hrudayabhoomiyiloode,ഡാകിനിമാരുടെ ഹൃദയഭൂമിയിലൂടെ,Malayalam-language travel & travelogue published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/daakinimaarude-hrudayabhoomiyiloode""","""Ramachandran M K""","""9788122613865""",,Q36236,Q668,+2017-07-06T00:00:00Z/11,380,Q1072723,"""2"""
,Daivam Enna Duranthanayakan,ദൈവം എന്ന ദുരന്തനായകൻ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/daivam-enna-duranthanayakan""","""P. P. Prakashan""","""9789354323416""",,Q36236,Q668,+2022-02-12T00:00:00Z/11,170,Q8261,"""5"""
,Daivam Katha Vayikkunnundu,ദൈവം കഥ വായിക്കുന്നുണ്ട്,Malayalam-language memoirs published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/daivam-katha-vayikkunnundu""","""Ashokan Charuvil""","""9788126440634""",,Q36236,Q668,+2013-03-01T00:00:00Z/11,87,Q112983,"""1"""
,Daivam Piano Vaayikkumbol,ദൈവം പിയാനോ വായിക്കുമ്പോൾ,Malayalam-language short stories published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/daivam-piano-vaayikkumbol""","""C V Balakrishnan""","""9788194552628""",,Q36236,Q668,+2020-01-01T00:00:00Z/11,90,Q49084,"""2"""
,Daivamenna Rashtrameemamsakan,ദൈവമെന്ന രാഷ്ട്രമീമാംസകൻ,Malayalam-language history published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/daivamenna-rashtrameemamsakan""","""Kancha Ilaiah""",,"""8126411341""",Q36236,Q668,+2017-06-15T00:00:00Z/11,280,,"""2"""
,Daivathinte Avakashikal,ദൈവത്തിന്റെ അവകാശികൾ,Malayalam-language articles published by Litmus,ലിറ്റ്മസ് പ്രസിദ്ധീകരിച്ച മലയാള ലേഖനങ്ങൾ,Q7725634,"""https://dcbookstore.com/books/daivathinte-avakashikal""","""Premkumar""","""9789354820793""",,Q36236,Q668,+2026-03-09T00:00:00Z/11,196,Q35760,"""6"""
,Daivathinte Gender,ദൈവത്തിന്റെ ജൻഡർ,Malayalam-language non fiction published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോൺ ഫിക്ഷൻ,Q7725634,"""https://dcbookstore.com/books/daivathinte-gender""","""Sister Jesme""","""9789353907358""",,Q36236,Q668,+2021-11-25T00:00:00Z/11,160,,"""3"""
,Daivathinte Poonthottam,ദൈവത്തിന്റെ പൂന്തോട്ടം,Malayalam-language philosophy published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/daivathinte-poonthottam""","""Nithyachaithanya Yathi""","""9788126433841""",,Q36236,Q668,+2024-04-25T00:00:00Z/11,336,Q5891,"""5"""
,Daivathinte Swantham Pakshikal,ദൈവത്തിന്റെ സ്വന്തം പക്ഷികള്,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/daivathinte-swantham-pakshikal""","""Shibi Moses""","""9788126415144""",,Q36236,Q668,+1970-01-01T00:00:00Z/11,114,,"""2"""
,Daivathinte Vikruthikal,ദൈവത്തിന്റെ വികൃതികൾ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/daivathinte-vikruthikal""","""M. Mukundan""",,,Q36236,Q668,+2026-03-10T00:00:00Z/11,320,Q8261,"""32"""
,Dakshinafrican Yathrapusthakam,ദക്ഷിണാഫ്രിക്കൻ യാത്രപുസ്തകം,Malayalam-language travel & travelogue published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/dakshinafrican-yathrapusthakam""","""Anoop C""","""9789353900809""",,Q36236,Q668,+2023-07-29T00:00:00Z/11,188,Q1072723,"""3"""
,Dakshinendiayile Mahaakshethangal (print on Demand),ദക്ഷിണേന്ത്യയിലെ മഹാക്ഷേതങ്ങൾ (പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language religion published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dakshinendiayile-mahaakshethangal-print-on-demand-185341808620""","""Rajendran P G""",,"""8126434724""",Q36236,Q668,+2017-07-26T00:00:00Z/11,525,Q9174,"""2"""
,Dalit Bhasha Nighandu,ദളിത് ഭാഷാ നിഘണ്ടു,Malayalam-language dictionary published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നിഘണ്ടു,Q7725634,"""https://dcbookstore.com/books/dalit-bhasha-nighandu""","""Kaviyoor Murali""",,"""8126427841""",Q36236,Q668,+2010-01-01T00:00:00Z/11,149,Q23622,"""1"""
,Dalith Sthree Idapedalukal,ദളിത് സ്ത്രീ ഇടപെടലുകൾ,Malayalam-language society & culture published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമൂഹവും സംസ്കാരവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dalith-sthree-idapedalukal""","""Rekharaj""","""9788126467563""",,Q36236,Q668,+2017-01-19T00:00:00Z/11,104,Q11042,"""2"""
,Dalithan,ദളിതൻ,Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/dalithan""","""Kochu K K""","""9789352824816""",,Q36236,Q668,+2025-03-31T00:00:00Z/11,400,Q36279,"""5"""
,Dante,ഡാന്റെ,Malayalam-language poetry published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള കവിത,Q7725634,"""https://dcbookstore.com/books/dante""","""K.D. Shybu Mundackal""","""9789354821523""",,Q36236,Q668,+2023-02-22T00:00:00Z/11,160,Q482,"""2"""
,Danthasamrakshanavum Prathirodhamargangalum,ദന്തസംരക്ഷണവും പ്രതിരോധമാര്ഗങ്ങളും,Malayalam-language health & fitness published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആരോഗ്യവും ക്ഷമതയും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/danthasamrakshanavum-prathirodhamargangalum""","""Retnakumari N""",,"""8124018219""",Q36236,Q668,+2015-06-01T00:00:00Z/11,108,Q12147,"""1"""
,Danube Sakshi,ഡാന്യൂബ് സാക്ഷി,Malayalam-language travel & travelogue published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/danube-sakshi""","""Veerendrakumar M P""","""9788182661509""",,Q36236,Q668,+2013-01-01T00:00:00Z/11,625,Q1072723,"""8"""
,Daridryathinte Sampathsasthram,ദാരിദ്ര്യത്തിന്റെ സമ്പത്സസ്ത്രം,Malayalam-language economics published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സാമ്പത്തികശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/daridryathinte-sampathsasthram""","""Esther Duflo""","""9789354329944""",,Q36236,Q668,+2022-05-06T00:00:00Z/11,376,,"""1"""
,Dark Net,ഡാർക്ക് നേടി,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dark-net""","""Adarsh S""","""9789354321856""",,Q36236,Q668,+2025-03-12T00:00:00Z/11,344,,"""7"""
,Dasthayevskiyute Katha,ദസ്തയേവ്സ്കിയുടെ കഥ,Malayalam-language autobiography & biography published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആത്മകഥയും ജീവചരിത്രവും,Q7725634,"""https://dcbookstore.com/books/dasthayevskiyute-katha""","""Surendran K""","""9788126409570""",,Q36236,Q668,+2023-06-29T00:00:00Z/11,328,Q36279,"""3"""
,Dawood Ibrahim Muthal I.s.i.vare,ദാവൂദ് ഇബ്രാഹിം മുതൽ ഐ.സ്.ഐ.വരെ,Malayalam-language memoirs published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/dawood-ibrahim-muthal-isivare""","""Neeraj Kumar""","""9788182678941""",,Q36236,Q668,+2019-06-01T00:00:00Z/11,244,Q112983,"""1"""
,Daya Enna Penkutty,ദയ എന്ന പെൺകുട്ടി,Malayalam-language children's literature published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/daya-enna-penkutty""","""M T Vasudevan Nair""","""9788126421367""",,Q36236,Q668,+2025-12-30T00:00:00Z/11,72,Q131539,"""15"""
,Dc Books Malayala Aksharamala,ഡിസി ബുക്സ് മലയാള അക്ഷരമാല,Malayalam-language children's literature published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/dc-books-malayala-aksharamala""",,"""9789354827747""",,Q36236,Q668,+2024-04-30T00:00:00Z/11,32,,"""2"""
,Dc Kizhakemuri : Noothanasayangalude Padapusthakam,ഡിസി കിഴക്കേമുറി : നൂതനസായങ്ങളുടെ പാഠപുസ്തകം,Malayalam-language reference published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-kizhakemuri--noothanasayangalude-padapusthakam""","""P. S. Jayan""","""9789356432420""",,Q36236,Q668,+2024-10-31T00:00:00Z/11,184,Q13136,"""3"""
,Dc Quiz - Bhoomisasthram,ഡിസി ക്വിസ് - ഭൂമിശാസ്ത്രം,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz---bhoomisasthram""","""N K Salim""","""9789389445022""",,Q36236,Q668,+2022-02-22T00:00:00Z/11,152,Q13136,"""2"""
,Dc Quiz - Kayikam,ഡിസി ക്വിസ് - കായികം,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz---kayikam""","""Sanil P Thomas""","""9789389445121""",,Q36236,Q668,+2022-02-22T00:00:00Z/11,112,Q13136,"""1"""
,Dc Quiz - Paristhithi,ഡിസി ക്വിസ് - പരിസ്ഥിതി,Malayalam-language environment & nature published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള പരിസ്ഥിതിയും പ്രകൃതിയും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz---paristhithi""","""Surya Joy""","""9789389445107""",,Q36236,Q668,+2022-02-22T00:00:00Z/11,120,,"""2"""
,Dc Quiz - Sahithyam,ഡിസി ക്വിസ് - സാഹിത്യം,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz---sahithyam""","""Sunil John S""","""9789354825200""",,Q36236,Q668,+2022-02-22T00:00:00Z/11,192,Q13136,"""1"""
,Dc Quiz Book,ഡിസി ക്വിസ് ബുക്ക്,Malayalam-language career guidance published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തൊഴിൽ മാർഗ്ഗനിർദ്ദേശ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz-book""","""Kamal Purushothaman""","""9788126403264""",,Q36236,Q668,+1970-01-01T00:00:00Z/11,240,,"""11"""
,Dc Quiz - Gandhi,ഡിസി ക്വിസ് - ഗാന്ധി,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz-gandhi""","""Baby Sam Saamuel""","""9789389445084""",,Q36236,Q668,+2022-02-15T00:00:00Z/11,168,Q13136,"""1"""
,Dc Quiz - India,ഡിസി ക്വിസ് - ഇന്ത്യ,Malayalam-language reference published by DC Refernce : an Imprint of DC Books,ഡിസി റഫറൻസ് (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള റഫറൻസ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dc-quiz-india""","""Sunil John S""","""9789389445060""",,Q36236,Q668,+2022-08-18T00:00:00Z/11,232,Q13136,"""2"""
,Decemberile Kakkakal,ഡിസംബറിലെ കാക്കകൾ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/decemberile-kakkakal""","""Sameera N""","""9789352823604""",,Q36236,Q668,+2019-04-18T00:00:00Z/11,224,Q8261,"""2"""
,Dee Cee Balapadam,ഡീ സിഇഇ ബാലപാഠം,Malayalam-language children's literature published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ബാലസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/dee-cee-balapadam""",,,,Q36236,Q668,+2012-02-07T00:00:00Z/11,60,Q131539,"""2"""
,Deecee Phalithangal,ഡിഎസ്എ ഫലിതങ്ങൾ,Malayalam-language humour published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ഹാസ്യസാഹിത്യം,Q7725634,"""https://dcbookstore.com/books/deecee-phalithangal""","""DC Kizhakemuri""","""9789354323133""",,Q36236,Q668,+2021-01-12T00:00:00Z/11,232,Q60548032,"""1"""
,Deivadasakam,ഡെയ്‌വദശകം,Malayalam-language religion published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/deivadasakam""","""Sree Narayana Guru""","""9788126452002""",,Q36236,Q668,+2025-06-10T00:00:00Z/11,64,Q9174,"""4"""
,Delhi,ഡൽഹി,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/delhi""","""M. Mukundan""","""9788171300488""",,Q36236,Q668,+2026-12-30T00:00:00Z/11,200,Q8261,"""30"""
,Delhi Days,ഡൽഹി ഡേയ്സ്,Malayalam-language collections & selected works published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമാഹാരങ്ങളും തിരഞ്ഞെടുത്ത കൃതികളും,Q7725634,"""https://dcbookstore.com/books/delhi-days""","""V K N""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,72,Q20540385,"""2"""
,Delhi Gaadhakal,ഡൽഹി ഗാഥകൾ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/delhi-gaadhakal""","""M. Mukundan""","""9788126433285""",,Q36236,Q668,+2023-09-30T00:00:00Z/11,576,Q8261,"""12"""
,Desabhavanayude Attaprakarangal,ദേശഭാവനയുടെ ആട്ടപ്രകാരങ്ങൾ,Malayalam-language study published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള പഠനം,Q7725634,"""https://dcbookstore.com/books/desabhavanayude-attaprakarangal""","""Sunil P Ilayidam""","""9788182677029""",,Q36236,Q668,+2019-01-01T00:00:00Z/11,350,Q193495,"""2"""
,Desacharithram Keraleeyakshethrangaliloote,ദേശചരിത്രം കേരളീയക്ഷേത്രങ്ങളിലൂടെ,Malayalam-language history published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/desacharithram-keraleeyakshethrangaliloote""","""Sasibhooshan M. G""","""9789352826803""",,Q36236,Q668,+2025-06-23T00:00:00Z/11,712,Q309,"""5"""
,Desamahanikhandu,ദേശമഹാനിഘണ്ടു,Malayalam-language dictionary published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നിഘണ്ടു,Q7725634,"""https://dcbookstore.com/books/desamahanikhandu""","""Pennukkara K G Radhakrishnan""","""9788126450794""",,Q36236,Q668,+2014-08-01T00:00:00Z/11,862,Q23622,"""1"""
,Desasmaranakal,ദേശസമരണകൾ,Malayalam-language memoirs published by Manorama Publication,മനോരമ പബ്ലിക്കേഷൻ പ്രസിദ്ധീകരിച്ച മലയാള ഓർമ്മക്കുറിപ്പുകൾ,Q7725634,"""https://dcbookstore.com/books/desasmaranakal""","""Anil Kurudath""","""9789389649024""",,Q36236,Q668,+2020-01-16T00:00:00Z/11,167,Q112983,"""1"""
,Deshiyatha Nayattinirangumbol,ദേശീയത നായാട്ടിനിറങ്ങുമ്പോൾ,Malayalam-language politics published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള രാഷ്ട്രീയ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/deshiyatha-nayattinirangumbol""","""K. Aravindakshan""","""9788126475346""",,Q36236,Q668,+2021-06-08T00:00:00Z/11,224,,"""1"""
,Deshiyavadhavum Vimathaswarangalum,ദേശീയവാദവും വിമതസ്വരങ്ങളും,Malayalam-language history published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ചരിത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/deshiyavadhavum-vimathaswarangalum""","""Romila Thapar""","""9789354329210""",,Q36236,Q668,+2022-07-27T00:00:00Z/11,160,,"""3"""
,Desiyathayude Uthkanda : Enthanu Bharatheeyatha,ദേശീയതയുടെ ഉത്കണ്ഠ : എന്താണ് ഭാരതീയത,Malayalam-language rush hours published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള റഷ് അവേഴ്സ് പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/desiyathayude-uthkanda--enthanu-bharatheeyatha""","""Shashi Tharoor""","""9788126475544""",,Q36236,Q668,+2024-02-29T00:00:00Z/11,520,,"""5"""
,Detective Prabhakaran,ഡിറ്റക്റ്റീവ് പ്രഭാകരൻ,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/detective-prabhakaran""","""G. R. Indugopan""","""9789353909215""",,Q36236,Q668,+2025-11-24T00:00:00Z/11,382,,"""11"""
,Devabhoomiyiloode,ദേവഭൂമിയിലൂടെ,Malayalam-language travel & travelogue published by Trissur Current Books,തൃശൂർ കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള യാത്രാവിവരണം,Q7725634,"""https://dcbookstore.com/books/devabhoomiyiloode""","""Ramachandran M K""","""9788122613834""",,Q36236,Q668,+2016-05-07T00:00:00Z/11,600,Q1072723,"""4"""
,Devaprashnam (print on Demand),ദേവപ്രശ്നം (പ്രിന്റ് ഓൺ ഡിമാൻഡ്),Malayalam-language architecture & vasthu published by Current Books,കറന്റ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള വാസ്തുവിദ്യാ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/devaprashnam""","""Onakkur Sankara Ganakan""",,"""8124015457""",Q36236,Q668,+2005-04-18T00:00:00Z/11,362,,"""1"""
,Devdas,ദേവദാസ്,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/devdas""","""Sarat Chandra Chatterjee""","""9788126430789""",,Q36236,Q668,+2011-05-23T00:00:00Z/11,100,Q8261,"""1"""
,Devi Mahathmyam,ദേവീ മാഹാത്മ്യം,Malayalam-language religion published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള മതം സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/devi-mahathmyam""",,"""9788126449279""",,Q36236,Q668,+2013-12-30T00:00:00Z/11,96,,"""1"""
,Dhaivam Marichu,ദൈവം മരിച്ചു,Malayalam-language spirituality & mysticism published by Silence Books,സൈലൻസ് ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dhaivam-marichu""","""Osho""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,320,Q168796,"""1"""
,Dharmapuranam,ധര്മപുരാണം,Malayalam-language novel published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള നോവൽ,Q7725634,"""https://dcbookstore.com/books/dharmapuranam""","""O V Vijayan""","""9788171300662""",,Q36236,Q668,+2026-01-30T00:00:00Z/11,256,Q8261,"""29"""
,Dharmarajyam,ധർമരാജ്യം,Malayalam-language society & culture published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള സമൂഹവും സംസ്കാരവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dharmarajyam""","""Vaikom Muhammad Basheer""","""9788126418336""",,Q36236,Q668,+2024-06-30T00:00:00Z/11,100,Q11042,"""13"""
,"Dharmasastram,swabhava Styryam,abhiruchi(ethics,integrity & Aptitude)",ധര്മശാസ്ത്രം സ്വഭാവ സ്റ്റൈര്യം അഭിരുചി(എത്തിക്സ് ഇന്റെഗ്രിറ്റി &amp; ആപ്റ്റിട്യുടെ),Malayalam-language self help published by Absolute,അബ്സല്യൂട്ട് പ്രസിദ്ധീകരിച്ച മലയാള സ്വയംസഹായ പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dharmasastramswabhava-styryamabhiruchiethicsintegrity--297698175142""","""Jobin S Kottaram""","""9788194202547""",,Q36236,Q668,+2020-07-15T00:00:00Z/11,342,,"""3"""
,Dhongshuvinte Swapnam,ദോങ്ങ്ഷുവിന്റെ സ്വപ്നം,Malayalam-language short stories published by Mambazham : an Imprint of DC Books,മാമ്പഴം (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ചെറുകഥകൾ,Q7725634,"""https://dcbookstore.com/books/dhongshuvinte-swapnam""","""G Amritharaj""","""9788126474745""",,Q36236,Q668,+2016-12-27T00:00:00Z/11,128,,"""1"""
,Dhyanangal,ധ്യാനങ്ങൾ,Malayalam-language philosophy published by DC Books,ഡിസി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള തത്ത്വശാസ്ത്ര പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dhyanangal""","""Krishnamurti J""",,,Q36236,Q668,+2021-02-04T00:00:00Z/11,144,Q5891,"""3"""
,Dhyanapadangal,ധ്യാനപദങ്ങൾ,Malayalam-language spirituality & mysticism published by Mathrubhumi Books,മാതൃഭൂമി ബുക്സ് പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dhyanapadangal""","""Das P N""","""9788182676602""",,Q36236,Q668,+2016-08-01T00:00:00Z/11,180,Q168796,"""3"""
,Dhyanathile Aahladam,ധ്യാനത്തിലെ ആഹ്ലാദം,Malayalam-language spirituality & mysticism published by Silence,സൈലൻസ് പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dhyanathile-aahladam""","""Osho""",,,Q36236,Q668,+2015-06-01T00:00:00Z/11,320,Q168796,"""2"""
,Dhyanavachassukal,ധ്യാനവചസ്സുകൾ,Malayalam-language spirituality & mysticism published by Sadhana : an Imprint of DC Books,സാധന (ഡിസി ബുക്സ്) പ്രസിദ്ധീകരിച്ച മലയാള ആധ്യാത്മികതയും മിസ്റ്റിസിസവും സംബന്ധിച്ച പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/dhyanavachassukal""","""Sadhguru""","""9788126449774""",,Q36236,Q668,+2014-03-01T00:00:00Z/11,304,Q168796,"""1"""
,Diabetic Cookery Book,ദിയബെറ്റിക് കുക്കറി ബുക്ക്,Malayalam-language cookery published by DC Life,ഡിസി ലൈഫ് പ്രസിദ്ധീകരിച്ച മലയാള പാചക പുസ്തകം,Q7725634,"""https://dcbookstore.com/books/diabetic-cookery-book""","""Lilly Babu Jose""","""9788126473830""",,Q36236,Q668,+2016-06-21T00:00:00Z/11,112,Q605076,"""2"""
